,web-scraper-order,web-scraper-start-url,Book_name,price,condition,image-src
917,1543863142-2714,https://www.rulistings.com/Books,Biology: A Global Approach 10th edition,55,Acceptable condition,https://rulistingsprod.blob.core.windows.net/rutgers/6ac7011e-606c-4159-ac7c-f64db6828e04_1515618776358thumb.jpg
918,1543863142-2507,https://www.rulistings.com/Books,"Avanzando: Gramatica espanola y lectura, ISBN: 9781118280232 7th edition",15,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/6035d521-4dc9-41fc-913f-fd90ca5605cf_1501179133186thumb.jpg
919,1543863142-1925,https://www.rulistings.com/Books,Management Skills Yellow Title Spring 2015 2nd edition,150,Acceptable condition,https://rulistingsprod.blob.core.windows.net/rutgers/bf118932-0d09-4105-91e3-5465fe4c7294_1505845053601thumb.jpg
920,1543863142-2060,https://www.rulistings.com/Books,Calculus SPECIAL EDITION 6th edition,50,Like New condition,https://rulistingsprod.blob.core.windows.net/rutgers/c426d320-69b4-4a86-8846-51a40b98e49b_1516385788695thumb.jpg
921,1543863142-1952,https://www.rulistings.com/Books,"Calculus by Jon Rogawski (151, 152, 251) 2nd edition",37,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/1975f4d8-47d7-46e5-a2ff-6bf14cf90e24_1504388913143thumb.jpg
922,1543863142-2363,https://www.rulistings.com/Books,"Organic Chemistry by Jonathan Clayden, Nick Greeves, and Stuart Warren  2nd edition",20,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/d4efd19f-3fa2-4837-9a1d-a4784e13c4fe_1517267744345thumb.jpg
923,1543863142-1759,https://www.rulistings.com/Books,"Management Skills, 2nd Edition 2nd edition",58,Like New condition,https://rulistingsprod.blob.core.windows.net/rutgers/cf8b3da5-4069-4f71-8428-e06f8bd3220b_1505678252921thumb.jpg
924,1543863142-1793,https://www.rulistings.com/Books,Chemistry Structure and Properties (Tro) 1st edition,45,Like New condition,https://rulistingsprod.blob.core.windows.net/rutgers/8b5191ff-118c-49cd-b13b-b148745cf779_1515815137107thumb.jpg
925,1543863142-2746,https://www.rulistings.com/Books,Martin's Physical Pharmacy and Pharmaceutical Sciences  7th edition,120,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/2549dee2-3050-4b02-b35a-16e1d47be1fc_1513754526735thumb.jpg
926,1543863142-1579,https://www.rulistings.com/Books,Organic Chemistry 7th edition,115,Like New condition,https://rulistingsprod.blob.core.windows.net/rutgers/5368bf9d-1293-4c74-9b91-6570790db7b7_1527829227156thumb.jpg
927,1543863142-1787,https://www.rulistings.com/Books,Organic Chemistry: Student Study Guide and Solutions Manual 7th edition,65,Like New condition,https://rulistingsprod.blob.core.windows.net/rutgers/a0d743c0-ad72-4469-9168-3875dcf9e231_1536026003943thumb.jpg
928,1543863142-1622,https://www.rulistings.com/Books,Fundamentals of Supply Chain Management 1st edition,70,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/c4941cc6-d217-42e2-84e7-31c952331eaf_1536296313918thumb.jpg
929,1543863142-2329,https://www.rulistings.com/Books,Medical Sociology 12th edition,10,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/b382ed0e-b426-4d90-8db3-d698a8031a15_1516291370022thumb.jpg
930,1543863142-1597,https://www.rulistings.com/Books,Sea Change: The Rise and Fall of Sea Level and the Jersey Shore (Custom Rutgers Edition) 13th edition 13th edition,50,Acceptable condition,https://rulistingsprod.blob.core.windows.net/rutgers/2a98e795-b2b7-46aa-8d7c-7c8031049a98_1516509851902thumb.jpg
931,1543863142-2080,https://www.rulistings.com/Books,Organic Chemistry 1 & 2 Bundle  7th edition,5,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/d0d9a041-330e-4e7a-95b7-b880b933f871_1531846546309thumb.jpg
932,1543863142-1632,https://www.rulistings.com/Books,Biochemistry  16th edition,15,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/a00dfdf0-e7fe-413a-be9f-6e256f1859a5_1503850061769thumb.jpg
933,1543863142-2312,https://www.rulistings.com/Books,Biochemistry  16th edition,80,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/dcbaec47-2184-44b9-9bee-4f36428393c6_1516756576491thumb.jpg
934,1543863142-2097,https://www.rulistings.com/Books,"The Art, Science, and Technology of Pharmaceutical Compounding 5th edition",65,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/8c8a1cc9-393a-4409-81d1-9e78bf40c62b_1527828640836thumb.jpg
935,1543863142-1527,https://www.rulistings.com/Books,Introductory Statistics  10th edition,58,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/f07a617e-a0e0-4767-aca8-13c0a4f0670b_1506466468755thumb.jpg
936,1543863142-2002,https://www.rulistings.com/Books,Turnaround Challenge: Business and the City of the Future 1st edition,1,Like New condition,https://rulistingsprod.blob.core.windows.net/rutgers/a8c0a5a9-db42-4eb3-9f34-254468fcf166_1501178621159thumb.jpg
937,1543863142-2684,https://www.rulistings.com/Books,Introduction to Econometrics 3rd edition,10,Like New condition,https://rulistingsprod.blob.core.windows.net/rutgers/9e1a885d-1441-4752-b3e5-7b23ea0f9009_1516252900193thumb.jpg
938,1543863142-2554,https://www.rulistings.com/Books,Medical Sociology by William C. Cockerham 13th edition,55,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/b832b788-711b-4443-9403-e1b4cefb2e2f_1536341847071thumb.jpg
939,1543863142-2427,https://www.rulistings.com/Books,Introduction to programming in Python 1st edition,85,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/bd384ad4-179c-41da-8b66-b7b8ff3f1936_1499574660482thumb.jpg
940,1543863142-2662,https://www.rulistings.com/Books,NextStep Test Prep MCAT Online Course 2nd edition,95,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/4c6176c0-47ff-48fe-84ba-b76048a8a751_1516427219659thumb.jpg
941,1543863142-2444,https://www.rulistings.com/Books,Precalculus: Mathematics for Calculus 7th edition,35,Acceptable condition,https://rulistingsprod.blob.core.windows.net/rutgers/3365b40d-45a2-4c00-b4e8-71c9e716b4b9_1537031006080thumb.jpg
942,1543863142-2181,https://www.rulistings.com/Books,Turnaround Challenge: Business and the City of the Future 1st edition,6,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/4cdb2d34-d256-43dd-8a2f-5ada816ff373_1504666130004thumb.jpg
943,1543863142-1946,https://www.rulistings.com/Books,Management Skills Fall 2016 2nd edition,5,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/173c8ade-f44b-42a6-87bf-b158e9c34455_1536435149410thumb.jpg
944,1543863142-2265,https://www.rulistings.com/Books,Introduction to Criminal Justice  14th edition,85,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/50702c2a-423f-4f6b-a9cd-2bcbe657b5cf_1513885455045thumb.jpg
945,1543863142-1896,https://www.rulistings.com/Books,Manhattan Prep GRE 5lb Book of Practice Problems 20th edition,85,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/b0499d79-e2bc-4c0a-bf76-2a4250f7934c_1528689001943thumb.jpg
946,1543863142-1551,https://www.rulistings.com/Books,Keys for Writers  7th edition,6,Acceptable condition,https://rulistingsprod.blob.core.windows.net/rutgers/ee31917b-288c-464e-8086-8b8be1deebb4_1505095812969thumb.jpg
947,1543863142-1736,https://www.rulistings.com/Books,Calculus Chapters 1-5 6th edition,115,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/e51eb167-e519-4ad6-a07f-c9b0f0979a7e_1500074016119thumb.jpg
